msg size,concur,write_ops,write,read_ops,read,cas_ops,cas,keys
8,16,0.00,0.00,0.00,0.00,1089568.29,0.07,1
8,32,0.00,0.00,0.00,0.00,1522722.73,0.10,1
8,48,0.00,0.00,0.00,0.00,1793387.44,0.11,1
8,64,0.00,0.00,0.00,0.00,1994428.87,0.13,1
8,80,0.00,0.00,0.00,0.00,2100447.13,0.13,1
8,96,0.00,0.00,0.00,0.00,2243950.59,0.14,1
8,112,0.00,0.00,0.00,0.00,2380213.85,0.15,1
8,128,0.00,0.00,0.00,0.00,2490846.38,0.16,1
8,144,0.00,0.00,0.00,0.00,2571837.23,0.16,1
8,160,0.00,0.00,0.00,0.00,2641061.11,0.17,1
8,176,0.00,0.00,0.00,0.00,2719085.46,0.17,1
8,192,0.00,0.00,0.00,0.00,2742321.99,0.18,1
8,208,0.00,0.00,0.00,0.00,2789624.78,0.18,1
8,224,0.00,0.00,0.00,0.00,2789581.26,0.18,1
8,240,0.00,0.00,0.00,0.00,2786168.94,0.18,1
8,256,0.00,0.00,0.00,0.00,2779397.23,0.18,1
8,272,0.00,0.00,0.00,0.00,2757105.59,0.18,1
8,288,0.00,0.00,0.00,0.00,2755805.18,0.18,1
8,304,0.00,0.00,0.00,0.00,2780576.63,0.18,1
8,320,0.00,0.00,0.00,0.00,2789839.68,0.18,1
8,336,0.00,0.00,0.00,0.00,2796897.72,0.18,1
8,352,0.00,0.00,0.00,0.00,2801475.50,0.18,1
8,368,0.00,0.00,0.00,0.00,2804569.85,0.18,1
