msg size,concur,write_ops,write,read_ops,read,cas_ops,cas,keys
8,16,0.00,0.00,0.00,0.00,1142552.53,0.07,1
8,32,0.00,0.00,0.00,0.00,1589092.66,0.10,1
8,48,0.00,0.00,0.00,0.00,1767369.87,0.11,1
8,64,0.00,0.00,0.00,0.00,1940647.66,0.12,1
8,80,0.00,0.00,0.00,0.00,2022904.16,0.13,1
8,96,0.00,0.00,0.00,0.00,2086474.98,0.13,1
8,112,0.00,0.00,0.00,0.00,2140494.55,0.14,1
8,128,0.00,0.00,0.00,0.00,2195552.08,0.14,1
8,144,0.00,0.00,0.00,0.00,2223979.70,0.14,1
8,160,0.00,0.00,0.00,0.00,2269374.97,0.15,1
8,176,0.00,0.00,0.00,0.00,2297718.00,0.15,1
8,192,0.00,0.00,0.00,0.00,2347623.67,0.15,1
8,208,0.00,0.00,0.00,0.00,2376526.08,0.15,1
8,224,0.00,0.00,0.00,0.00,2422882.56,0.16,1
8,240,0.00,0.00,0.00,0.00,2436154.10,0.16,1
8,256,0.00,0.00,0.00,0.00,2436541.74,0.16,1
8,272,0.00,0.00,0.00,0.00,2455880.93,0.16,1
8,288,0.00,0.00,0.00,0.00,2456168.05,0.16,1
8,304,0.00,0.00,0.00,0.00,2456142.23,0.16,1
8,320,0.00,0.00,0.00,0.00,2456157.03,0.16,1
8,336,0.00,0.00,0.00,0.00,2456138.41,0.16,1
8,352,0.00,0.00,0.00,0.00,2456148.52,0.16,1
8,368,0.00,0.00,0.00,0.00,2456125.58,0.16,1
