msg size,concur,write_ops,write,read_ops,read,cas_ops,cas
8,24,11022991.31,0.71,8894469.73,0.57,8711073.26,0.56
8,48,21716380.05,1.39,18232380.98,1.17,18325311.49,1.17
8,72,32152170.74,2.06,27028976.78,1.73,27205614.19,1.74
8,96,41263998.79,2.64,35303355.99,2.26,35724348.83,2.29
8,120,44725342.58,2.86,40944144.02,2.62,43692591.62,2.80
8,144,49975309.68,3.20,42032964.57,2.69,43607925.36,2.79
8,168,56023103.81,3.59,48746168.83,3.12,51761468.34,3.31
8,192,62347895.38,3.99,53885645.37,3.45,51607099.60,3.30
8,216,67139802.13,4.30,58942071.44,3.77,51440019.30,3.29
8,240,74677348.96,4.78,63845645.71,4.09,51315880.89,3.28
8,264,80949681.81,5.18,68538547.72,4.39,51160856.15,3.27
8,288,86556813.18,5.54,72939798.70,4.67,50980281.08,3.26
8,312,92642435.92,5.93,77108024.09,4.93,50866288.63,3.26
8,336,98620553.09,6.31,81072330.93,5.19,50727843.45,3.25
8,360,103564855.09,6.63,84463737.75,5.41,50559735.67,3.24
8,384,107523855.04,6.88,86661508.08,5.55,45980977.81,2.94
