msg size,concur,write_ops,write,read_ops,read,cas_ops,cas,keys                                                                                                      
8,24,11063397.74,0.71,10229775.65,0.65,10259833.61,0.66,1024                                                                                                        
8,48,21794811.03,1.39,20092205.07,1.29,20184272.63,1.29,1024                                                                                                        
8,72,32258918.98,2.06,29762249.99,1.90,29890730.56,1.91,1024                                                                                                        
8,96,41740380.19,2.67,39051882.30,2.50,39094127.80,2.50,1024                                                                                                        
8,120,45139376.70,2.89,45674350.15,2.92,44762357.60,2.86,1024
8,144,50122960.56,3.21,50263671.89,3.22,49447273.54,3.16,1024
8,168,56260302.60,3.60,55141378.90,3.53,54911689.03,3.51,1024
8,192,62625787.60,4.01,60642947.90,3.88,60627203.07,3.88,1024
8,216,68169549.72,4.36,66129165.95,4.23,66168796.30,4.23,1024
8,240,75020054.80,4.80,71358992.31,4.57,71385521.97,4.57,1024
8,264,81463065.64,5.21,76271909.72,4.88,76181860.29,4.88,1024
8,288,86985404.00,5.57,80744083.00,5.17,80552900.22,5.16,1024
8,312,93199491.11,5.96,84966028.27,5.44,84659056.55,5.42,1024
8,336,99055896.76,6.34,88833152.69,5.69,88257106.55,5.65,1024
8,360,103832883.91,6.65,92006125.50,5.89,90462952.73,5.79,1024
8,384,108759245.00,6.96,93719544.13,6.00,91116408.54,5.83,1024
