msg size,concur,write_ops,write,read_ops,read,cas_ops,cas,faa_ops,faa,keys
8,24,11058618.87,0.71,9309436.83,0.60,2928701.53,0.19,2539060.63,0.19,1
8,48,21792514.15,1.39,18219914.79,1.17,2928847.58,0.19,2539265.05,0.19,1
8,72,32272420.43,2.07,23046075.22,1.47,2928824.54,0.19,2539288.24,0.19,1
8,96,41658961.62,2.67,23053907.52,1.48,2928842.25,0.19,2539288.39,0.19,1
8,120,44942367.65,2.88,23059873.31,1.48,2928862.42,0.19,2539316.53,0.19,1
8,144,50263409.12,3.22,23065531.02,1.48,2928865.93,0.19,2539315.67,0.19,1
8,168,56326854.96,3.60,23072714.03,1.48,2928873.21,0.19,2539323.30,0.19,1
8,192,62735066.25,4.02,23078273.66,1.48,2928936.66,0.19,2539327.36,0.19,1
8,216,67928630.55,4.35,23079109.78,1.48,2928895.60,0.19,2539345.23,0.19,1
8,240,75140012.12,4.81,23078966.12,1.48,2928898.18,0.19,2539304.27,0.19,1
8,264,81531279.60,5.22,23079010.82,1.48,2928898.70,0.19,2539290.79,0.19,1
8,288,87064959.95,5.57,23079086.18,1.48,2928905.68,0.19,2539300.27,0.19,1
8,312,93252256.07,5.97,23079182.84,1.48,2928904.08,0.19,2539307.44,0.19,1
8,336,99238241.18,6.35,23079234.82,1.48,2928899.54,0.19,2539304.47,0.19,1
8,360,104202715.74,6.67,23079272.44,1.48,2928896.78,0.19,2539315.40,0.19,1
8,384,108094193.32,6.92,23079322.08,1.48,2928908.70,0.19,2539321.75,0.19,1
