msg size,concur,write_ops,write,read_ops,read,cas_ops,cas,faa_ops,faa
8,1,0.00,0.00,0.00,0.00,0.00,0.00,498762.40,0.00,0
8,2,0.00,0.00,0.00,0.00,0.00,0.00,994423.14,0.00,0
8,3,0.00,0.00,0.00,0.00,0.00,0.00,1490050.30,0.00,0
8,4,0.00,0.00,0.00,0.00,0.00,0.00,1973667.19,0.00,0
8,5,0.00,0.00,0.00,0.00,0.00,0.00,2442252.65,0.00,0
8,6,0.00,0.00,0.00,0.00,0.00,0.00,2827652.92,0.00,0
8,7,0.00,0.00,0.00,0.00,0.00,0.00,2993317.37,0.00,0
8,8,0.00,0.00,0.00,0.00,0.00,0.00,3293138.78,0.00,0
8,9,0.00,0.00,0.00,0.00,0.00,0.00,3526553.57,0.00,0
8,10,0.00,0.00,0.00,0.00,0.00,0.00,3840226.78,0.00,0
8,11,0.00,0.00,0.00,0.00,0.00,0.00,4177758.59,0.00,0
8,12,0.00,0.00,0.00,0.00,0.00,0.00,4468792.16,0.00,0
8,13,0.00,0.00,0.00,0.00,0.00,0.00,4762397.75,0.00,0
8,14,0.00,0.00,0.00,0.00,0.00,0.00,5054082.04,0.00,0
8,15,0.00,0.00,0.00,0.00,0.00,0.00,5308457.23,0.00,0
8,16,0.00,0.00,0.00,0.00,0.00,0.00,5559718.82,0.00,0

msg size,concur,write_ops,write,read_ops,read,cas_ops,cas,faa_ops,faa,keys
8,2,0.00,0.00,0.00,0.00,0.00,0.00,951320.69,0.00,1024
8,4,0.00,0.00,0.00,0.00,0.00,0.00,1873118.23,0.00,1024
8,6,0.00,0.00,0.00,0.00,0.00,0.00,2754933.67,0.00,1024
8,8,0.00,0.00,0.00,0.00,0.00,0.00,3240759.15,0.00,1024
8,10,0.00,0.00,0.00,0.00,0.00,0.00,4133388.39,0.00,1024
8,12,0.00,0.00,0.00,0.00,0.00,0.00,4778678.54,0.00,1024
8,14,0.00,0.00,0.00,0.00,0.00,0.00,5457094.83,0.00,1024
8,16,0.00,0.00,0.00,0.00,0.00,0.00,6129907.00,0.00,1024
8,18,0.00,0.00,0.00,0.00,0.00,0.00,6775229.10,0.00,1024
8,20,0.00,0.00,0.00,0.00,0.00,0.00,7408294.18,0.00,1024
8,22,0.00,0.00,0.00,0.00,0.00,0.00,8024986.38,0.00,1024
8,24,0.00,0.00,0.00,0.00,0.00,0.00,8616106.85,0.00,1024
8,26,0.00,0.00,0.00,0.00,0.00,0.00,9152942.32,0.00,1024
8,28,0.00,0.00,0.00,0.00,0.00,0.00,9671782.23,0.00,1024
8,30,0.00,0.00,0.00,0.00,0.00,0.00,10160313.27,0.00,1024
8,32,0.00,0.00,0.00,0.00,0.00,0.00,10627477.02,0.00,1024
