| Program | Exact Match Input xbar | Ternary Match Input xbar | Hash Bit | Hash Dist Unit | Gateway |  SRAM  | Map RAM |  TCAM | VLIW Instr | Meter ALU | Stats ALU | Stash | Exact Match Search Bus | Exact Match Result Bus | Tind Result Bus | Action Data Bus Bytes | 8-bit Action Slots | 16-bit Action Slots | 32-bit Action Slots | Logical TableID |
| p4src | 31.90% | 58.33% | 32.31% | 27.78% | 30.21% | 69.48% | 23.78% | 54.86% | 24.22% | 33.33% | 39.58% | 25.00% | 49.48% | 39.58% | 22.40% | 17.32% | 0.00% | 0.00% | 0.00% | 63.02% |
| p4_16_programs | 9.77% | 5.30% | 12.02% | 0.00% | 0.00% | 7.50% | 0.00% | 16.67% | 7.81% | 0.00% | 0.00% | 9.38% | 12.50% | 12.50% | 0.00% | 1.95% | 0.00% | 0.00% | 0.00% | 15.62% |
| p4_16_programs | 10.16% | 5.30% | 22.72% | 8.33% | 0.00% | 15.00% | 7.29% | 8.33% | 7.81% | 12.50% | 25.00% | 18.75% | 18.75% | 18.75% | 0.00% | 2.34% | 0.00% | 0.00% | 0.00% | 21.88% |
| tna_meter_lpf_wred | 8.33% | 0.00% | 19.23% | 0.00% | 0.00% | 18.75% | 15.97% | 0.00% | 6.25% | 50.00% | 0.00% | 12.50% | 12.50% | 12.50% | 2.08% | 0.52% | 0.00% | 0.00% | 0.00% | 14.58% |
| tna_idletimeout | 1.56% | 12.12% | 4.81% | 0.00% | 0.00% | 3.75% | 3.12% | 12.50% | 4.69% | 0.00% | 0.00% | 3.12% | 3.12% | 3.12% | 6.25% | 1.56% | 0.00% | 0.00% | 0.00% | 9.38% |
| bri_with_pdfixed_thrift | 4.69% | 0.00% | 9.62% | 0.00% | 0.00% | 7.50% | 0.00% | 0.00% | 6.25% | 0.00% | 0.00% | 6.25% | 6.25% | 6.25% | 3.12% | 7.03% | 0.00% | 0.00% | 0.00% | 9.38% |
| tna_register | 9.38% | 0.00% | 19.23% | 0.00% | 0.00% | 18.75% | 14.58% | 0.00% | 6.25% | 75.00% | 0.00% | 12.50% | 12.50% | 12.50% | 6.25% | 0.78% | 0.00% | 0.00% | 0.00% | 18.75% |
| tna_pvs | 0.00% | 0.00% | 0.00% | 0.00% | 0.00% | 0.00% | 0.00% | 0.00% | 3.12% | 0.00% | 0.00% | 0.00% | 0.00% | 0.00% | 6.25% | 0.00% | 0.00% | 0.00% | 0.00% | 6.25% |
| tna_operations | 1.56% | 3.03% | 3.21% | 0.00% | 0.00% | 3.75% | 2.78% | 5.56% | 4.17% | 0.00% | 16.67% | 2.08% | 2.08% | 2.08% | 2.08% | 1.04% | 0.00% | 0.00% | 0.00% | 6.25% |
| tna_lpm_match | 1.56% | 4.55% | 0.60% | 0.00% | 0.00% | 1.88% | 0.00% | 12.50% | 3.91% | 0.00% | 0.00% | 0.00% | 1.56% | 1.56% | 3.12% | 3.52% | 0.00% | 0.00% | 0.00% | 6.25% |
